TYPE,WIDTH,HEIGHT
CIRCLE,37.73128873,27.93717388
RECTANGLE,9.239264806,10.72475424
CIRCLE,4.895427624,36.09538887
RECTANGLE,34.8333331,2.786263253
CIRCLE,26.90861939,25.11206928
RECTANGLE,10.30855536,36.78201673
CIRCLE,47.05133871,20.9196637
CIRCLE,14.14768315,5.056630913
CIRCLE,30.65228091,37.65445056
CIRCLE,29.35031849,17.05452326
RECTANGLE,42.40431729,24.66433693
CIRCLE,3.92910549,21.65883153
CIRCLE,20.16786962,2.508968726
RECTANGLE,19.70974582,9.245293732
CIRCLE,22.01953015,47.52245941
RECTANGLE,2.442667662,9.271405173
CIRCLE,35.80372274,47.00905939
CIRCLE,18.73414953,11.72117345
CIRCLE,2.945242251,9.642064162
RECTANGLE,17.80471338,3.225764981
CIRCLE,20.78045928,28.13628664
RECTANGLE,38.58260296,21.18037831
CIRCLE,50.16502321,3.764404702
RECTANGLE,15.14015249,41.67764048
CIRCLE,17.61585854,4.787487507
RECTANGLE,25.9808753,29.57784337
RECTANGLE,13.74527663,43.37002017
RECTANGLE,45.1850587,41.53633991
RECTANGLE,2.245025837,18.04973961
RECTANGLE,15.9216987,35.30839423
CIRCLE,16.17806365,31.33259561
RECTANGLE,29.33458128,1.151823864
RECTANGLE,30.83589446,4.483136133
CIRCLE,4.310323552,43.64772185
CIRCLE,14.91926055,24.08065358
RECTANGLE,26.13617492,4.759589762
RECTANGLE,24.30002075,17.41137512
RECTANGLE,14.55541298,31.45117797
RECTANGLE,15.12201052,16.26704007
CIRCLE,4.228131672,3.683367626
CIRCLE,15.49870422,31.22015448
RECTANGLE,33.10522911,1.110376848
CIRCLE,7.56549907,20.94623954
RECTANGLE,46.72343255,49.29563565
CIRCLE,34.14441499,3.663395564
RECTANGLE,38.92914071,48.76761176
RECTANGLE,6.779040016,20.25948883
CIRCLE,12.03891608,2.735935133
RECTANGLE,4.397530594,21.17726272
CIRCLE,1.944442011,21.78808593
CIRCLE,14.3614687,11.62771035
RECTANGLE,26.16974267,46.38701265
RECTANGLE,30.15839725,2.20199802
CIRCLE,25.3884869,40.48994932
CIRCLE,32.49585324,24.45225988
RECTANGLE,31.40919162,22.10876532
RECTANGLE,43.05468856,33.51158179
CIRCLE,7.136129085,9.132159528
CIRCLE,2.659517477,32.32347953
RECTANGLE,16.51375688,21.2300007
CIRCLE,38.12408499,14.55118816
CIRCLE,44.96247989,41.16014332
CIRCLE,44.52937375,35.73707042
RECTANGLE,3.313559067,1.298009323
RECTANGLE,22.19226788,34.78246419
CIRCLE,10.75097648,23.70927556
CIRCLE,20.08257186,40.3182721
RECTANGLE,14.76807341,4.585949775
CIRCLE,49.94621859,9.036617439
CIRCLE,18.64676618,46.36617447
RECTANGLE,47.89245563,5.553861638
CIRCLE,49.4671642,3.358048603
RECTANGLE,22.70283813,45.87531745
CIRCLE,12.15539387,19.18780155
RECTANGLE,42.61983787,39.03195427
RECTANGLE,37.57743895,46.89260822
CIRCLE,24.87287201,23.95940931
RECTANGLE,45.18681655,4.97838159
CIRCLE,4.699582197,11.18962889
RECTANGLE,3.233905318,35.26283123
RECTANGLE,23.12015243,1.425437521
RECTANGLE,32.04471658,40.8241281
CIRCLE,35.22250249,15.56835662
CIRCLE,8.37695216,44.87545419
RECTANGLE,3.216151037,33.2699856
RECTANGLE,41.36113314,23.88578659
RECTANGLE,1.012570735,49.57724903
RECTANGLE,3.034632709,30.7671956
CIRCLE,19.58984531,21.74183043
CIRCLE,8.976408707,36.44899067
CIRCLE,24.89944104,40.76410863
RECTANGLE,7.050266576,30.6590177
RECTANGLE,32.57289838,24.7418983
CIRCLE,44.76444485,35.23242416
RECTANGLE,26.18627822,43.594308
RECTANGLE,48.25535358,45.76819815
RECTANGLE,8.340144341,47.23104674
RECTANGLE,8.403268596,29.95380342
CIRCLE,36.31291453,31.73746298
CIRCLE,32.08779452,23.37821468
RECTANGLE,6.545396717,40.64565112
RECTANGLE,29.09091551,26.15366941
CIRCLE,14.71430053,10.86193152
RECTANGLE,17.65543416,16.16644563
CIRCLE,30.6525624,35.32100656
RECTANGLE,44.20662634,7.276986578
CIRCLE,39.8742804,26.93712224
CIRCLE,25.24490893,43.28967379
CIRCLE,15.96207047,30.92253686
CIRCLE,31.91734778,31.01256638
RECTANGLE,50.57467551,45.04361005
CIRCLE,50.27580643,28.22741872
CIRCLE,30.33261185,19.88482695
RECTANGLE,12.72955413,14.89029095
CIRCLE,12.33968647,23.69107105
RECTANGLE,8.700146059,38.383062
CIRCLE,12.59819221,18.8584556
CIRCLE,44.98638209,36.13615609
CIRCLE,34.07559302,9.644027625
RECTANGLE,38.84716467,1.442802462
CIRCLE,23.68050025,33.16465175
CIRCLE,39.31006634,20.78512792
CIRCLE,9.905782858,28.25540236
RECTANGLE,34.71341297,23.4924125
RECTANGLE,35.39658328,29.25775171
RECTANGLE,16.98970314,47.05180541
RECTANGLE,11.20108646,44.30789094
RECTANGLE,35.69817407,33.8918147
RECTANGLE,31.96183739,40.19548012
RECTANGLE,37.31431763,37.95890028
